"","EditId","occid","CatalogNumber","dbpk","ReviewStatus","AppliedStatus","Editor","Timestamp","FieldName","OldValue","NewValue"
"99942",2102564,4264487,"0027321MOR",33575,"OPEN","APPLIED","Hipp, Andrew",42388.7006365741,"decimallatitude","41.783918","41.784109999999998"
"107642",2102565,4264487,"0027321MOR",33575,"OPEN","APPLIED","Hipp, Andrew",42388.7006365741,"decimallongitude","-86.716544999999996","-86.716759999999994"
"7445",2102619,4264487,"0027321MOR",33575,"OPEN","APPLIED","Hipp, Andrew",42388.7043287037,"coordinateuncertaintyinmeters","163","161"
"99941",2102617,4264487,"0027321MOR",33575,"OPEN","APPLIED","Hipp, Andrew",42388.7043287037,"decimallatitude","41.784109999999998","41.764079000000002"
"107641",2102618,4264487,"0027321MOR",33575,"OPEN","APPLIED","Hipp, Andrew",42388.7043287037,"decimallongitude","-86.716759999999994","-86.738390999999993"
"7443",2102642,4264585,"0027063MOR",33673,"OPEN","APPLIED","Hipp, Andrew",42388.7066782407,"coordinateuncertaintyinmeters","181","196"
"99939",2102640,4264585,"0027063MOR",33673,"OPEN","APPLIED","Hipp, Andrew",42388.7066782407,"decimallatitude","41.784205999999998","41.764079000000002"
"107639",2102641,4264585,"0027063MOR",33673,"OPEN","APPLIED","Hipp, Andrew",42388.7066782407,"decimallongitude","-86.717102999999994","-86.738390999999993"
"7442",2102654,4264585,"0027063MOR",33673,"OPEN","APPLIED","Hipp, Andrew",42388.7072800926,"coordinateuncertaintyinmeters","196","161"
"7441",2102662,4264585,"0027063MOR",33673,"OPEN","APPLIED","Hipp, Andrew",42388.7081481482,"coordinateuncertaintyinmeters","161","191"
"7439",2102671,4264588,"0027350MOR",33676,"OPEN","APPLIED","Hipp, Andrew",42388.7098611111,"coordinateuncertaintyinmeters","421","161"
"99937",2102669,4264588,"0027350MOR",33676,"OPEN","APPLIED","Hipp, Andrew",42388.7098611111,"decimallatitude","41.785710000000002","41.764079000000002"
"107637",2102670,4264588,"0027350MOR",33676,"OPEN","APPLIED","Hipp, Andrew",42388.7098611111,"decimallongitude","-86.717102999999994","-86.738390999999993"
"7437",2102724,4264487,"0027321MOR",33575,"OPEN","APPLIED","Hipp, Andrew",42388.7143171296,"coordinateuncertaintyinmeters","161","194"
"99935",2102722,4264487,"0027321MOR",33575,"OPEN","APPLIED","Hipp, Andrew",42388.7143171296,"decimallatitude","41.764079000000002","41.784045999999996"
"107635",2102723,4264487,"0027321MOR",33575,"OPEN","APPLIED","Hipp, Andrew",42388.7143171296,"decimallongitude","-86.738390999999993","-86.717016999999998"
"7436",2102730,4264487,"0027321MOR",33575,"OPEN","APPLIED","Hipp, Andrew",42388.7161226852,"coordinateuncertaintyinmeters","194","205"
"99934",2102728,4264487,"0027321MOR",33575,"OPEN","APPLIED","Hipp, Andrew",42388.7161226852,"decimallatitude","41.784045999999996","41.785646"
"107634",2102729,4264487,"0027321MOR",33575,"OPEN","APPLIED","Hipp, Andrew",42388.7161226852,"decimallongitude","-86.717016999999998","-86.716846000000004"
"7435",2102790,4264487,"0027321MOR",33575,"OPEN","APPLIED","Hipp, Andrew",42388.7199421296,"coordinateuncertaintyinmeters","205","139"
"99933",2102788,4264487,"0027321MOR",33575,"OPEN","APPLIED","Hipp, Andrew",42388.7199421296,"decimallatitude","41.785646","41.78398"
"107633",2102789,4264487,"0027321MOR",33575,"OPEN","APPLIED","Hipp, Andrew",42388.7199421296,"decimallongitude","-86.716846000000004","-86.717050999999998"
"7434",2102799,4264585,"0027063MOR",33673,"OPEN","APPLIED","Hipp, Andrew",42388.7217013889,"coordinateuncertaintyinmeters","191","163"
"99932",2102797,4264585,"0027063MOR",33673,"OPEN","APPLIED","Hipp, Andrew",42388.7217013889,"decimallatitude","41.764079000000002","41.784011999999997"
"107632",2102798,4264585,"0027063MOR",33673,"OPEN","APPLIED","Hipp, Andrew",42388.7217013889,"decimallongitude","-86.738390999999993","-86.716707999999997"
"7433",2102825,4264585,"0027063MOR",33673,"OPEN","APPLIED","Hipp, Andrew",42388.7228125,"coordinateuncertaintyinmeters","163","157"
