"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters","MatchGUID"
"0000675MOR","41.891684","-88.043392","WGS84","Louise & Lee","based on collectors description","GeoLocate","197","2051b22c-b368-4608-889c-936406f9edcd"
"0000680MOR","41.735475","-88.076837","WGS84","Louise & Lee","based on collectors description","GeoLocate","207","dd4f5426-3ffd-4126-bcef-4a4c85fa24dc"
"0000682MOR","41.77901","-88.13564","WGS84","Louise & Lee","based on collectors description","GeoLocate","99","3d64243d-ef4b-4432-8dc8-db75f5b4dbdb"
"0000688MOR","41.712431","-87.927157","WGS84","Louise & Lee","based on collectors description","GeoLocate","1009","3e02c5a6-4b7f-4d8d-a0c5-e4a8915cb51f"
"0000690MOR","41.712431","-87.927157","WGS84","Louise & Lee","based on collectors description","GeoLocate","215","7b6f486d-f9b8-472e-ad6e-23d7b84f1a8c"
"0000704MOR","41.816401","-88.037913","WGS84","Louise & Lee","based on collectors description","GeoLocate","200","edd79dd0-3ca2-4faa-9567-586ba20300fe"
"0000707MOR","41.813458","-88.079584","WGS84","Louise & Lee","based on collectors description","GeoLocate","205","2da979af-cc61-4550-b4e2-6b34520d5803"
"0000708MOR","41.819423","-88.084326","WGS84","Louise & Lee","based on collectors description","GeoLocate","213","19664f10-9f32-40da-bacb-528a5027f697"
"0000711MOR","41.817317","-88.065412","WGS84","Louise & Lee","based on collectors description","GeoLocate","198","bd392be9-caeb-48e4-9025-a4d084691d3a"
"0000743MOR","41.819215","-88.070872","WGS84","Louise & Lee","based on collectors description","GeoLocate","157","99fdcbd2-0e7c-435e-b098-6e060d2952e3"
"0000748MOR","41.819983","-88.046411","WGS84","Louise & Lee","based on collectors description","GeoLocate","198","76e793f2-db07-4e13-b360-766ea949aba8"
"0000774MOR","41.798368","-88.064769","WGS84","Louise & Lee","based on collectors description","GeoLocate","196","f7d952c7-8298-44df-9a08-602ecb62c1bb"
"0000782MOR","41.816201","-88.085876","WGS84","Louise & Lee","based on collectors description","GeoLocate","149","6e04aaa5-4a03-4dd3-b900-455f776a0784"
"0000783MOR","41.81333","-88.091111","WGS84","Louise & Lee","based on collectors description","GeoLocate","208","0939842c-b41e-47de-87ca-b8367170392b"
"0000813MOR","41.812179","-88.069188","WGS84","Louise & Lee","based on collectors description","GeoLocate","96","f19c3e42-22c0-4c59-a703-09e5ad9daa9b"
"0000835MOR","41.819839","-88.083597","WGS84","Louise & Lee","based on collectors description","GeoLocate","149","52886238-189c-4638-bf43-ff20e00172f5"
"0000846MOR","41.820433","-88.050917","WGS84","Louise & Lee","based on collectors description","GeoLocate","204","c7a09b3d-c96a-4788-9479-5cb6e6199b67"
"0000855MOR","41.82075","-88.083532","WGS84","Louise & Lee","based on collectors description","GeoLocate","194","ac96beb3-19e3-427d-8511-322d0de63619"
"0000857MOR","41.821358","-88.080211","WGS84","Louise & Lee","based on collectors description","GeoLocate","151","1a9427a6-e8f3-48ba-b7c3-39b76ba65b98"
"0000866MOR","41.815265","-88.083168","WGS84","Louise & Lee","based on collectors description","GeoLocate","101","2cdeb2bd-fe05-42df-8b77-65749beac3c3"
