"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters","country","county","cultivationstatus","dateidentified","eventdate","georeferenceprotocol","habitat","identificationremarks","identifiedby","locality","localitysecurity","localitysecurityreason","municipality","occurrenceremarks","processingstatus","sciname","startdayofyear","stateprovince","stateProvince","verbatimattributes","verbatimcoordinates","verbatimeventdate","year"
"0001868MOR","41.816679999999998","-88.046604000000002","WGS84","Louise & Lee","based on collectors description","GeoLocate","127","","","","","","","","","","","","","","","","","","","","","","",""
"0001869MOR","41.813729000000002","-88.079187000000005","WGS84","Louise & Lee","based on collectors description","GeoLocate","106","","","","","","","","","","","","","","","","","","","","","","",""
"0001870MOR","41.813544999999998","-88.071151","WGS84","Louise & Lee","based on collectors description","GeoLocate","94","","","","","","","","","","","","","","","","","","","","","","",""
"0001883MOR","41.787185000000001","-88.024303000000003","WGS84","Louise & Lee","based on collectors description","GeoLocate","200","","","","","","","","","","","","","","","","","","","","","","",""
"0001884MOR","41.824908000000001","-88.053481000000005","WGS84","Louise & Lee","based on collectors description","GeoLocate","148","","","","","","","","","","","","","","","","","","","","","","",""
"0001890MOR","40.777537000000002","-87.162413000000001","","Fertig","","","100","","","","","","","","","","","","","","","","","","","","","","",""
"0001917MOR","41.956862999999998","-88.129175000000004","WGS84","Louise & Lee","based on collectors description","GeoLocate","285","","","","","","","","","","","","","","","","","","","","","","",""
"0001967MOR","41.550150000000002","-87.074719999999999","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0001968MOR","41.672110000000004","-86.35069","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0002013MOR","41.819811999999999","-88.060261999999994","WGS84","Louise & Lee","based on collectors description","GeoLocate","202","","","","","","","","","","","","","","","","","","","","","","",""
"0002016MOR","41.818238999999998","-88.067040000000006","WGS84","Louise & Lee","based on collectors description","GeoLocate","95","","","","","","","","","","","","","","","","","","","","","","",""
"0002017MOR","41.816848","-88.046786999999995","WGS84","Louise & Lee","based on collectors description","GeoLocate","150","","","","","","","","","","","","","","","","","","","","","","",""
"0002018MOR","41.753185999999999","-87.973838999999998","WGS84","Louise & Lee","based on collectors description","GeoLocate","147","","","","","","","","","","","","","","","","","","","","","","",""
"0002021MOR","41.818840999999999","-88.064352","WGS84","Louise & Lee","based on collectors description","GeoLocate","109","","","","","","","","","","","","","","","","","","","","","","",""
"0002025MOR","41.811602999999998","-88.071205000000006","WGS84","Louise & Lee","based on collectors description","GeoLocate","197","","","","","","","","","","","","","","","","","","","","","","",""
"0002035MOR","41.818022999999997","-88.065078999999997","WGS84","Louise & Lee","based on collectors description","GeoLocate","155","","","","","","","","","","","","","","","","","","","","","","",""
"0002038MOR","41.812027","-88.069005000000004","WGS84","Louise & Lee","based on collectors description","GeoLocate","106","","","","","","","","","","","","","","","","","","","","","","",""
"0002060MOR","41.813298000000003","-88.081418999999997","WGS84","Louise & Lee","based on collectors description","GeoLocate","203","","","","","","","","","","","","","","","","","","","","","","",""
"0002061MOR","41.814416999999999","-88.039319000000006","WGS84","Louise & Lee","based on collectors description","GeoLocate","212","","","","","","","","","","","","","","","","","","","","","","",""
"0002142MOR","41.815075999999998","-88.079122999999996","WGS84","Louise & Lee","based on collectors description","GeoLocate","150","","","","","","","","","","","","","","","","","","","","","","",""
"0002226MOR","41.815800000000003","-88.038396000000006","WGS84","Louise & Lee","based on collectors description","GeoLocate","204","","","","","","","","","","","","","","","","","","","","","","",""
"0002227MOR","41.818340999999997","-88.054081999999994","WGS84","Louise & Lee","based on collectors description","GeoLocate","205","","","","","","","","","","","","","","","","","","","","","","",""
"0002246MOR","41.820787000000003","-88.171935000000005","WGS84","Louise & Lee","based on collectors description","GeoLocate","206","","","","","","","","","","","","","","","","","","","","","","",""
"0002296MOR","41.805742000000002","-88.180693000000005","WGS84","Louise & Lee","based on collectors description","GeoLocate","211","","","","","","","","","","","","","","","","","","","","","","",""
"0002297MOR","41.805742000000002","-88.180693000000005","WGS84","Louise & Lee","based on collectors description","GeoLocate","211","","","","","","","","","","","","","","","","","","","","","","",""
"0002320MOR","41.814801000000003","-88.051070999999993","WGS84","Louise & Lee","based on collectors description","GeoLocate","207","","","","","","","","","","","","","","","","","","","","","","",""
"0002321MOR","41.813543000000003","-88.091932999999997","WGS84","Louise & Lee","based on collectors description","GeoLocate","195","","","","","","","","","","","","","","","","","","","","","","",""
"0002322MOR","41.815216999999997","-88.080425000000005","WGS84","Louise & Lee","based on collectors description","GeoLocate","101","","","","","","","","","","","","","","","","","","","","","","",""
"0002343MOR","41.812634000000003","-88.092177000000007","WGS84","Louise & Lee","based on collectors description","GeoLocate","201","","","","","","","","","","","","","","","","","","","","","","",""
"0002378MOR","31.202383999999999","-85.343549999999993","WGS84","Louise & Lee","based on collectors description","GeoLocate","186","","","","","","","","","","","","","","","","","","","","","","",""
"0002381MOR","41.814855000000001","-88.052108000000004","WGS84","Louise & Lee","based on collectors description","GeoLocate","195","","","","","","","","","","","","","","","","","","","","","","",""
"0002382MOR","41.811143999999999","-88.061335","WGS84","Louise & Lee","based on collectors description","GeoLocate","203","","","","","","","","","","","","","","","","","","","","","","",""
"0002383MOR","41.816608000000002","-88.046335999999997","WGS84","Louise & Lee","based on collectors description","GeoLocate","125","","","","","","","","","","","","","","","","","","","","","","",""
