"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters"
"0004574MOR","41.811711","-88.070604","WGS84","Louise & Lee","based on collectors description","GeoLocate","100"
"0004575MOR","41.807962","-87.992328","WGS84","Louise & Lee","based on collectors description","GeoLocate","197"
"0004576MOR","41.815486","-88.066667","WGS84","Louise & Lee","based on collectors description","GeoLocate","98"
"0004597MOR","41.811373","-87.948186","WGS84","Louise & Lee","based on collectors description","GeoLocate","109"
"0004598MOR","41.811373","-87.948186","WGS84","Louise & Lee","based on collectors description","GeoLocate","109"
"0004629MOR","41.812423","-88.046443","WGS84","Louise & Lee","based on collectors description","GeoLocate","155"
"0004630MOR","41.811699","-88.072578","WGS84","Louise & Lee","based on collectors description","GeoLocate","153"
"0004631MOR","41.812671","-88.072815","WGS84","Louise & Lee","based on collectors description","GeoLocate","97"
"0004633MOR","41.815198","-88.092931","WGS84","Louise & Lee","based on collectors description","GeoLocate","106"
"0004646MOR","41.822718","-88.03795","WGS84","Louise & Lee","based on collectors description","GeoLocate","302"
"0004647MOR","41.796559","-88.181117","WGS84","Louise & Lee","based on collectors description","GeoLocate","500"
"0004648MOR","41.818724","-88.046851","WGS84","Louise & Lee","based on collectors description","GeoLocate","302"
"0004649MOR","41.818313","-88.078952","WGS84","Louise & Lee","based on collectors description","GeoLocate","99"
