"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters"
"0065664MOR","37.331419|bannon-hipp|NA","-88.081688|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","2036|bannon-hipp|NA"
"0065665MOR","37.487957|bannon-hipp|NA","-95.167497|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","1957|bannon-hipp|NA"
"0065666MOR","37.418393|bannon-hipp|NA","-95.680258|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","1839|bannon-hipp|NA"
"0065667MOR","37.40336|bannon-hipp|NA","-95.665662|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","1835|bannon-hipp|NA"
"0065668MOR","40.896087|bannon-hipp|NA","-91.026137|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","145|bannon-hipp|NA"
"0065669MOR","41.628661|bannon-hipp|NA","-87.091465|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise and Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","593|bannon-hipp|NA"
"0065671MOR","32.834371|bannon-hipp|NA","-84.856334|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","2001|bannon-hipp|NA"
"0065672MOR","34.708671|bannon-hipp|NA","-92.306761|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","2011|bannon-hipp|NA"
"0065673MOR","35.011521|bannon-hipp|NA","-90.763055|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","2021|bannon-hipp|NA"
"0065674MOR","41.139676|bannon-hipp|NA","-90.95702|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise and Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","225|bannon-hipp|NA"
"0065675MOR","41.257243|bannon-hipp|NA","-89.300943|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise and Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","210|bannon-hipp|NA"
"0065676MOR","37.132944|bannon-hipp|NA","-89.144882|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise and Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","201|bannon-hipp|NA"
"0065677MOR","37.114424|bannon-hipp|NA","-88.445905|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise and Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","229|bannon-hipp|NA"
"0065678MOR","39.434449|bannon-hipp|NA","-90.878676|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise and Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","142|bannon-hipp|NA"
"0065679MOR","40.7038|bannon-hipp|NA","-89.606152|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","2108|bannon-hipp|NA"
"0065680MOR","38.100638|bannon-hipp|NA","-89.396223|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise and Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","155|bannon-hipp|NA"
